# wavelength_nm, shifted_wavelength_nm, flux_Wm2nm1
1.195000000000000000e+02,1.428298188154600439e+02,6.190000000000000027e-05
1.205000000000000000e+02,1.440250474247944226e+02,5.613999999999999850e-04
1.215000000000000000e+02,1.452202760341288297e+02,4.900999999999999975e-03
1.225000000000000000e+02,1.464155046434632084e+02,1.183999999999999940e-03
1.235000000000000000e+02,1.476107332527976155e+02,4.770000000000000070e-05
1.245000000000000000e+02,1.488059618621319942e+02,3.430000000000000025e-05
1.255000000000000000e+02,1.500011904714664013e+02,2.879999999999999870e-05
1.265000000000000000e+02,1.511964190808007800e+02,3.520000000000000180e-05
1.275000000000000000e+02,1.523916476901351871e+02,2.129999999999999935e-05
1.285000000000000000e+02,1.535868762994695658e+02,1.730000000000000038e-05
1.295000000000000000e+02,1.547821049088039729e+02,3.990000000000000084e-05
1.305000000000000000e+02,1.559773335181383516e+02,1.206000000000000041e-04
1.315000000000000000e+02,1.571725621274727587e+02,3.979999999999999841e-05
1.325000000000000000e+02,1.583677907368071374e+02,4.130000000000000099e-05
1.335000000000000000e+02,1.595630193461415445e+02,1.679999999999999907e-04
1.345000000000000000e+02,1.607582479554759232e+02,4.569999999999999952e-05
1.355000000000000000e+02,1.619534765648103303e+02,3.800000000000000209e-05
1.365000000000000000e+02,1.631487051741447090e+02,3.089999999999999892e-05
1.375000000000000000e+02,1.643439337834791161e+02,2.920000000000000164e-05
1.385000000000000000e+02,1.655391623928134948e+02,3.970000000000000276e-05
1.395000000000000000e+02,1.667343910021479019e+02,7.559999999999999446e-05
1.405000000000000000e+02,1.679296196114823090e+02,6.080000000000000064e-05
1.415000000000000000e+02,1.691248482208166877e+02,4.210000000000000011e-05
1.425000000000000000e+02,1.703200768301510948e+02,4.679999999999999915e-05
1.435000000000000000e+02,1.715153054394854735e+02,5.110000000000000203e-05
1.445000000000000000e+02,1.727105340488198806e+02,5.089999999999999717e-05
1.455000000000000000e+02,1.739057626581542593e+02,5.539999999999999813e-05
1.465000000000000000e+02,1.751009912674886664e+02,7.090000000000000219e-05
1.475000000000000000e+02,1.762962198768230451e+02,8.490000000000000368e-05
1.485000000000000000e+02,1.774914484861574522e+02,8.200000000000000095e-05
1.495000000000000000e+02,1.786866770954918309e+02,7.959999999999999682e-05
1.505000000000000000e+02,1.798819057048262380e+02,8.700000000000000051e-05
1.515000000000000000e+02,1.810771343141606167e+02,9.270000000000000353e-05
1.525000000000000000e+02,1.822723629234950238e+02,1.162999999999999944e-04
1.535000000000000000e+02,1.834675915328294025e+02,1.299000000000000133e-04
1.545000000000000000e+02,1.846628201421638096e+02,2.058999999999999904e-04
1.555000000000000000e+02,1.858580487514981883e+02,2.144000000000000072e-04
1.565000000000000000e+02,1.870532773608325954e+02,1.846999999999999901e-04
1.575000000000000000e+02,1.882485059701669741e+02,1.716999999999999993e-04
1.585000000000000000e+02,1.894437345795013812e+02,1.675000000000000057e-04
1.595000000000000000e+02,1.906389631888357599e+02,1.754000000000000079e-04
1.605000000000000000e+02,1.918341917981701670e+02,1.934000000000000118e-04
1.615000000000000000e+02,1.930294204075045741e+02,2.227999999999999946e-04
1.625000000000000000e+02,1.942246490168389528e+02,2.518999999999999972e-04
1.635000000000000000e+02,1.954198776261733599e+02,2.841000000000000209e-04
1.645000000000000000e+02,1.966151062355077386e+02,2.973000000000000165e-04
1.655000000000000000e+02,1.978103348448421457e+02,4.301999999999999943e-04
1.665000000000000000e+02,1.990055634541765244e+02,3.988999999999999924e-04
1.675000000000000000e+02,2.002007920635109315e+02,3.874999999999999864e-04
1.685000000000000000e+02,2.013960206728453102e+02,4.556000000000000154e-04
1.695000000000000000e+02,2.025912492821797173e+02,5.877000000000000279e-04
1.705000000000000000e+02,2.037864778915140960e+02,6.616000000000000353e-04
1.715000000000000000e+02,2.049817065008485031e+02,6.880000000000000265e-04
1.725000000000000000e+02,2.061769351101828818e+02,7.251999999999999549e-04
1.735000000000000000e+02,2.073721637195172889e+02,7.644999999999999886e-04
1.745000000000000000e+02,2.085673923288516676e+02,9.066999999999999756e-04
1.755000000000000000e+02,2.097626209381860747e+02,1.079000000000000098e-03
1.765000000000000000e+02,2.109578495475204534e+02,1.219999999999999947e-03
1.775000000000000000e+02,2.121530781568548605e+02,1.402999999999999950e-03
1.785000000000000000e+02,2.133483067661892392e+02,1.538000000000000088e-03
1.795000000000000000e+02,2.145435353755236463e+02,1.575999999999999927e-03
1.805000000000000000e+02,2.157387639848580250e+02,1.830999999999999945e-03
1.815000000000000000e+02,2.169339925941924321e+02,2.233000000000000176e-03
1.825000000000000000e+02,2.181292212035268392e+02,2.243000000000000202e-03
1.835000000000000000e+02,2.193244498128612179e+02,2.243999999999999901e-03
1.845000000000000000e+02,2.205196784221956250e+02,2.066000000000000128e-03
1.855000000000000000e+02,2.217149070315300037e+02,2.311000000000000120e-03
1.865000000000000000e+02,2.229101356408644108e+02,2.700000000000000143e-03
1.875000000000000000e+02,2.241053642501987895e+02,3.008999999999999956e-03
1.885000000000000000e+02,2.253005928595331966e+02,3.291000000000000088e-03
1.895000000000000000e+02,2.264958214688675753e+02,3.569000000000000124e-03
1.905000000000000000e+02,2.276910500782019824e+02,3.763999999999999985e-03
1.915000000000000000e+02,2.288862786875363611e+02,4.165000000000000299e-03
1.925000000000000000e+02,2.300815072968707682e+02,4.113000000000000336e-03
1.935000000000000000e+02,2.312767359062051469e+02,3.808000000000000187e-03
1.945000000000000000e+02,2.324719645155395540e+02,5.210000000000000221e-03
1.955000000000000000e+02,2.336671931248739327e+02,5.427000000000000400e-03
1.965000000000000000e+02,2.348624217342083398e+02,6.008000000000000319e-03
1.975000000000000000e+02,2.360576503435427185e+02,6.191000000000000322e-03
1.985000000000000000e+02,2.372528789528771256e+02,6.186999999999999791e-03
1.995000000000000000e+02,2.384481075622115043e+02,6.663999999999999785e-03
2.005000000000000000e+02,2.396433361715459114e+02,7.326000000000000047e-03
2.015000000000000000e+02,2.408385647808802901e+02,8.023000000000000617e-03
2.025000000000000000e+02,2.420337933902146972e+02,8.260999999999999246e-03
2.035000000000000000e+02,2.432290219995491043e+02,9.216999999999999499e-03
2.045000000000000000e+02,2.444242506088834830e+02,1.025000000000000043e-02
2.055000000000000000e+02,2.456194792182178901e+02,1.054000000000000076e-02
2.065000000000000000e+02,2.468147078275522688e+02,1.107999999999999957e-02
2.075000000000000000e+02,2.480099364368866759e+02,1.264999999999999979e-02
2.085000000000000000e+02,2.492051650462210546e+02,1.504999999999999914e-02
2.095000000000000000e+02,2.504003936555554617e+02,2.137999999999999970e-02
2.105000000000000000e+02,2.515956222648898404e+02,2.792000000000000037e-02
2.115000000000000000e+02,2.527908508742242475e+02,3.354000000000000037e-02
2.125000000000000000e+02,2.539860794835586262e+02,3.130000000000000143e-02
2.135000000000000000e+02,2.551813080928930333e+02,3.314999999999999891e-02
2.145000000000000000e+02,2.563765367022274404e+02,4.003000000000000308e-02
2.155000000000000000e+02,2.575717653115618191e+02,3.615000000000000158e-02
2.165000000000000000e+02,2.587669939208961978e+02,3.227000000000000007e-02
2.175000000000000000e+02,2.599622225302305765e+02,3.529000000000000192e-02
2.185000000000000000e+02,2.611574511395650120e+02,4.436999999999999972e-02
2.195000000000000000e+02,2.623526797488993907e+02,4.692000000000000337e-02
2.205000000000000000e+02,2.635479083582337694e+02,4.732999999999999707e-02
2.215000000000000000e+02,2.647431369675681481e+02,3.957999999999999713e-02
2.225000000000000000e+02,2.659383655769025836e+02,4.964999999999999969e-02
2.235000000000000000e+02,2.671335941862369623e+02,6.300999999999999657e-02
2.245000000000000000e+02,2.683288227955713410e+02,5.897000000000000158e-02
2.255000000000000000e+02,2.695240514049057765e+02,5.229000000000000314e-02
2.265000000000000000e+02,2.707192800142401552e+02,3.939999999999999752e-02
2.275000000000000000e+02,2.719145086235745339e+02,3.991999999999999715e-02
2.285000000000000000e+02,2.731097372329089126e+02,5.195000000000000312e-02
2.295000000000000000e+02,2.743049658422433481e+02,4.771000000000000241e-02
2.305000000000000000e+02,2.755001944515777268e+02,5.211999999999999966e-02
2.315000000000000000e+02,2.766954230609121055e+02,5.097000000000000142e-02
2.325000000000000000e+02,2.778906516702464842e+02,5.326000000000000179e-02
2.335000000000000000e+02,2.790858802795809197e+02,4.474000000000000199e-02
2.345000000000000000e+02,2.802811088889152984e+02,3.896999999999999770e-02
2.355000000000000000e+02,2.814763374982496771e+02,5.142000000000000043e-02
2.365000000000000000e+02,2.826715661075840558e+02,4.859000000000000125e-02
2.375000000000000000e+02,2.838667947169184913e+02,4.843999999999999695e-02
2.385000000000000000e+02,2.850620233262528700e+02,4.195999999999999730e-02
2.395000000000000000e+02,2.862572519355872487e+02,4.411999999999999950e-02
2.405000000000000000e+02,2.874524805449216274e+02,3.955999999999999794e-02
2.415000000000000000e+02,2.886477091542560629e+02,5.147999999999999798e-02
