# TARGETID=39628462612284326, Z=0.304, SPECTYPE=QSO, SUBTYPE=LOZ, smoothing=4.0
# wave_A flux
# 
3.600000000000000000e+03 6.472244911601860551e+00
3.600800000000000182e+03 6.532988143336972087e+00
3.601600000000000364e+03 6.641622583168334870e+00
3.602400000000000546e+03 6.775387833358565537e+00
3.603200000000000728e+03 6.907196548239850742e+00
3.604000000000000909e+03 7.011155419941720091e+00
3.604800000000001091e+03 7.068025337666803409e+00
3.605600000000001273e+03 7.068510244729106162e+00
3.606400000000001455e+03 7.013960819651009260e+00
3.607200000000001637e+03 6.915123515190893855e+00
3.608000000000001819e+03 6.790142442687175262e+00
3.608800000000002001e+03 6.661307844373664189e+00
3.609600000000002183e+03 6.550870985449419592e+00
3.610400000000002365e+03 6.476804817413669646e+00
3.611200000000002547e+03 6.448865609707833180e+00
3.612000000000002728e+03 6.466674795365469741e+00
3.612800000000002910e+03 6.518485858358955554e+00
3.613600000000003092e+03 6.584718315155953405e+00
3.614400000000003274e+03 6.643421391516917573e+00
3.615200000000003456e+03 6.675882958571804693e+00
3.616000000000003638e+03 6.672200077238776394e+00
3.616800000000003820e+03 6.633070887592066534e+00
3.617600000000004002e+03 6.569832160071484850e+00
3.618400000000004184e+03 6.501386836258086888e+00
3.619200000000004366e+03 6.449367859789262525e+00
3.620000000000004547e+03 6.433773700542745999e+00
3.620800000000004729e+03 6.468517402190306242e+00
3.621600000000004911e+03 6.558804153091235101e+00
3.622400000000005093e+03 6.699929205817337419e+00
3.623200000000005275e+03 6.877692782254817061e+00
3.624000000000005457e+03 7.072462152277845249e+00
3.624800000000005639e+03 7.263885158616557369e+00
3.625600000000005821e+03 7.435873583291912503e+00
3.626400000000006003e+03 7.580783055377665391e+00
3.627200000000006185e+03 7.700248420652711978e+00
3.628000000000006366e+03 7.803278004104543975e+00
3.628800000000006548e+03 7.902396747869451232e+00
3.629600000000006730e+03 8.010770367369767442e+00
3.630400000000006912e+03 8.139439290820964956e+00
3.631200000000007094e+03 8.297204594136678324e+00
3.632000000000007276e+03 8.491179965252710460e+00
3.632800000000007458e+03 8.726600868366178432e+00
3.633600000000007640e+03 9.006712760685065433e+00
3.634400000000007822e+03 9.330588824765916556e+00
3.635200000000008004e+03 9.692148666271382496e+00
3.636000000000008185e+03 1.008081490139839254e+01
3.636800000000008367e+03 1.048297300106256102e+01
3.637600000000008549e+03 1.088424858848525112e+01
3.638400000000008731e+03 1.127193990580310867e+01
3.639200000000008913e+03 1.163577814545035416e+01
3.640000000000009095e+03 1.196707344835884790e+01
3.640800000000009277e+03 1.225848382847984830e+01
3.641600000000009459e+03 1.250489218230100974e+01
3.642400000000009641e+03 1.270392412659325032e+01
3.643200000000009823e+03 1.285776702192777066e+01
3.644000000000010004e+03 1.297368513632749831e+01
3.644800000000010186e+03 1.306210489717154744e+01
3.645600000000010368e+03 1.313430901373230952e+01
3.646400000000010550e+03 1.319889592544324408e+01
3.647200000000010732e+03 1.326033038933844921e+01
3.648000000000010914e+03 1.331898103878158857e+01
3.648800000000011096e+03 1.337297312249709158e+01
3.649600000000011278e+03 1.342055620676825356e+01
3.650400000000011460e+03 1.346013625771193389e+01
3.651200000000011642e+03 1.348878916536185990e+01
3.652000000000011823e+03 1.349964569077484811e+01
3.652800000000012005e+03 1.347997900124957305e+01
3.653600000000012187e+03 1.341190382907713818e+01
3.654400000000012369e+03 1.327690253651521957e+01
3.655200000000012551e+03 1.306052010712262224e+01
3.656000000000012733e+03 1.275792163398107526e+01
3.656800000000012915e+03 1.237566104520071519e+01
3.657600000000013097e+03 1.192996492682073395e+01
3.658400000000013279e+03 1.144224911002877754e+01
3.659200000000013461e+03 1.093387936142438122e+01
3.660000000000013642e+03 1.042162173791553492e+01
3.660800000000013824e+03 9.916368534444242044e+00
3.661600000000014006e+03 9.423794442612129174e+00
3.662400000000014188e+03 8.947018738496559820e+00
3.663200000000014370e+03 8.489664865398701465e+00
3.664000000000014552e+03 8.058077113111114187e+00
3.664800000000014734e+03 7.661272265692573136e+00
3.665600000000014916e+03 7.310282179681951931e+00
3.666400000000015098e+03 7.015310522114844183e+00
3.667200000000015280e+03 6.783623371319185580e+00
3.668000000000015461e+03 6.617667183820886478e+00
3.668800000000015643e+03 6.514220094140361184e+00
3.669600000000015825e+03 6.464727493771671440e+00
3.670400000000016007e+03 6.456050051588824168e+00
3.671200000000016189e+03 6.472528860676401763e+00
3.672000000000016371e+03 6.497766739676398728e+00
3.672800000000016553e+03 6.517497262705119532e+00
3.673600000000016735e+03 6.521693034535821276e+00
3.674400000000016917e+03 6.506147048505276587e+00
3.675200000000017099e+03 6.472736996815003252e+00
3.676000000000017280e+03 6.427398963392860765e+00
3.676800000000017462e+03 6.377230496641687729e+00
3.677600000000017644e+03 6.326415594225988315e+00
3.678400000000017826e+03 6.272689072762950957e+00
3.679200000000018008e+03 6.205845875016902546e+00
3.680000000000018190e+03 6.109690314638235975e+00
3.680800000000018372e+03 5.966125002857399551e+00
3.681600000000018554e+03 5.762501512285551186e+00
3.682400000000018736e+03 5.497408070937888525e+00
3.683200000000018917e+03 5.186129604831315909e+00
3.684000000000019099e+03 4.859730274205589673e+00
3.684800000000019281e+03 4.559482748962033760e+00
3.685600000000019463e+03 4.327676956148526877e+00
3.686400000000019645e+03 4.196731409502579169e+00
3.687200000000019827e+03 4.181330634188135775e+00
3.688000000000020009e+03 4.275493412144852456e+00
3.688800000000020191e+03 4.455840649435027778e+00
3.689600000000020373e+03 4.688890718832020355e+00
3.690400000000020555e+03 4.939260227923888635e+00
3.691200000000020736e+03 5.176371950862345805e+00
3.692000000000020918e+03 5.378006507662327351e+00
3.692800000000021100e+03 5.531003118556768072e+00
3.693600000000021282e+03 5.630413548602660079e+00
3.694400000000021464e+03 5.678202682878348284e+00
3.695200000000021646e+03 5.682885075309389578e+00
3.696000000000021828e+03 5.657991703685209650e+00
3.696800000000022010e+03 5.620768761643781808e+00
3.697600000000022192e+03 5.589376349873415251e+00
