# Model for TARGETID=39628462612284326 at z=0, SPECTYPE=QSO, SUBTYPE=LOZ, smoothing=4.0
# wave_A flux
# 
2.760736196319018291e+03 8.400490021765843807e+00
2.761349693251533608e+03 8.436693312997306293e+00
2.761963190184049381e+03 8.503278862070075661e+00
2.762576687116564699e+03 8.590240968113397102e+00
2.763190184049080017e+03 8.686025212244599558e+00
2.763803680981595789e+03 8.780203530774203458e+00
2.764417177914111107e+03 8.865345461010173622e+00
2.765030674846626425e+03 8.937688989393665295e+00
2.765644171779142198e+03 8.996727089074010308e+00
2.766257668711657516e+03 9.044162956436801792e+00
2.766871165644173288e+03 9.082750036415696115e+00
2.767484662576688606e+03 9.115384404462659518e+00
2.768098159509203924e+03 9.144589143492854788e+00
2.768711656441719697e+03 9.172344691062987110e+00
2.769325153374235015e+03 9.200126457126700075e+00
2.769938650306750333e+03 9.229028058941219470e+00
2.770552147239266105e+03 9.259885898825107375e+00
2.771165644171781423e+03 9.293262821944960450e+00
2.771779141104296741e+03 9.329581881091579376e+00
2.772392638036812514e+03 9.369180907573959161e+00
2.773006134969327832e+03 9.412221273851521630e+00
2.773619631901843150e+03 9.458776218015986004e+00
2.774233128834358922e+03 9.508879908061963704e+00
2.774846625766874240e+03 9.562565398734456323e+00
2.775460122699389558e+03 9.619895410416507531e+00
2.776073619631905331e+03 9.680969674641506373e+00
2.776687116564420649e+03 9.745906518113329753e+00
2.777300613496935966e+03 9.814800806170199010e+00
2.777914110429451739e+03 9.887664609171981311e+00
2.778527607361967057e+03 9.964361098478981660e+00
2.779141104294482830e+03 1.004454811963269201e+01
2.779754601226998147e+03 1.012764982249714230e+01
2.780368098159513465e+03 1.021287347201828943e+01
2.780981595092029238e+03 1.029928219055758909e+01
2.781595092024544556e+03 1.038592278190362705e+01
2.782208588957059874e+03 1.047198834451402405e+01
2.782822085889575646e+03 1.055698141084267050e+01
2.783435582822090964e+03 1.064084013734274770e+01
2.784049079754606282e+03 1.072399638052634963e+01
2.784662576687122055e+03 1.080735101674882159e+01
2.785276073619637373e+03 1.089217753341828399e+01
2.785889570552152691e+03 1.097997800495624077e+01
2.786503067484668463e+03 1.107232203769153500e+01
2.787116564417183781e+03 1.117070164111009767e+01
2.787730061349699099e+03 1.127641863629522945e+01
2.788343558282214872e+03 1.139050650505713769e+01
2.788957055214730190e+03 1.151367825158843772e+01
2.789570552147245508e+03 1.164627847067921174e+01
2.790184049079761280e+03 1.178821226155186963e+01
2.790797546012276598e+03 1.193882834627653189e+01
2.791411042944792371e+03 1.209675455123058008e+01
2.792024539877307689e+03 1.225971204733245834e+01
2.792638036809823006e+03 1.242436666653980026e+01
2.793251533742338779e+03 1.258630016786957206e+01
2.793865030674854097e+03 1.274018197603203362e+01
2.794478527607369415e+03 1.288018194557727014e+01
2.795092024539885188e+03 1.300059859582960442e+01
2.795705521472400505e+03 1.309660393404424816e+01
2.796319018404915823e+03 1.316494679937782486e+01
2.796932515337431596e+03 1.320443941061799897e+01
2.797546012269946914e+03 1.321609038653841495e+01
2.798159509202462232e+03 1.320283043186866045e+01
2.798773006134978004e+03 1.316888146792030057e+01
2.799386503067493322e+03 1.311891425730676630e+01
2.800000000000008640e+03 1.305719088075329637e+01
2.800613496932524413e+03 1.298688402653753471e+01
2.801226993865039731e+03 1.290970786180221452e+01
2.801840490797555049e+03 1.282590964621747531e+01
2.802453987730070821e+03 1.273458127291247521e+01
2.803067484662586139e+03 1.263418149796647860e+01
2.803680981595101912e+03 1.252312978728254578e+01
2.804294478527617230e+03 1.240033986224387519e+01
2.804907975460132548e+03 1.226559522859804119e+01
2.805521472392648320e+03 1.211971432903312618e+01
2.806134969325163638e+03 1.196450573950032137e+01
2.806748466257678956e+03 1.180255182071713982e+01
2.807361963190194729e+03 1.163688150689306156e+01
2.807975460122710047e+03 1.147060826817293488e+01
2.808588957055225364e+03 1.130659914439162961e+01
2.809202453987741137e+03 1.114722133962760253e+01
