# TARGETID=39627854555648169, Z=1.279, SPECTYPE=GALAXY, SUBTYPE=, smoothing=1.0
# wave_A flux
# 
3.600000000000000000e+03 4.018512318999661659e+00
3.600800000000000182e+03 2.296130822481415201e+00
3.601600000000000364e+03 3.211021528734216424e-01
3.602400000000000546e+03 -1.073329484541498235e+00
3.603200000000000728e+03 -9.832554269401295732e-01
3.604000000000000909e+03 1.651339621286614101e-01
3.604800000000001091e+03 1.048194381702337363e+00
3.605600000000001273e+03 7.230342508682102709e-01
3.606400000000001455e+03 -3.275887136305026814e-01
3.607200000000001637e+03 -6.991879790086088509e-01
3.608000000000001819e+03 1.362574401511033040e-01
3.608800000000002001e+03 4.381387801118868941e-01
3.609600000000002183e+03 -7.316845449652640276e-01
3.610400000000002365e+03 -2.267718806144168653e+00
3.611200000000002547e+03 -2.546810695061688001e+00
3.612000000000002728e+03 -1.593232082155165763e+00
3.612800000000002910e+03 -5.850658940965999255e-01
3.613600000000003092e+03 2.807586466621626586e-01
3.614400000000003274e+03 2.203607688411275412e-01
3.615200000000003456e+03 -3.651023317205333019e-01
3.616000000000003638e+03 -5.020171602749488038e-01
3.616800000000003820e+03 2.526796515911319263e-01
3.617600000000004002e+03 1.080190744085606225e+00
3.618400000000004184e+03 1.397336557289613035e+00
3.619200000000004366e+03 1.703575737445994331e+00
3.620000000000004547e+03 1.235206358910354796e+00
3.620800000000004729e+03 1.400097883907595042e-01
3.621600000000004911e+03 -7.476344129506873326e-02
3.622400000000005093e+03 7.932170657965597060e-01
3.623200000000005275e+03 6.121788943483288392e-01
3.624000000000005457e+03 -6.828378730102103722e-01
3.624800000000005639e+03 -9.197132739314385352e-01
3.625600000000005821e+03 -2.067333468420140541e-01
3.626400000000006003e+03 -3.654758684537612323e-01
3.627200000000006185e+03 -3.461684476483268269e-01
3.628000000000006366e+03 1.903196022408154553e-01
3.628800000000006548e+03 5.053771419669819687e-02
3.629600000000006730e+03 -1.752601243889440052e-01
3.630400000000006912e+03 -3.272410229814225885e-02
3.631200000000007094e+03 -1.284993640885877531e-01
3.632000000000007276e+03 -1.917701660454628754e-01
3.632800000000007458e+03 4.897934788580357579e-01
3.633600000000007640e+03 1.213921272002034479e+00
3.634400000000007822e+03 1.251271399460902378e+00
3.635200000000008004e+03 5.740466335153966426e-01
3.636000000000008185e+03 1.080057404392734677e-01
3.636800000000008367e+03 4.592142111904849999e-01
3.637600000000008549e+03 7.386290633065548672e-01
3.638400000000008731e+03 8.816961614407306524e-02
3.639200000000008913e+03 -1.264700516923780160e+00
3.640000000000009095e+03 -9.822367134355088902e-01
3.640800000000009277e+03 1.308158178126771709e+00
3.641600000000009459e+03 2.110259497050987143e+00
3.642400000000009641e+03 1.230876836140340602e+00
3.643200000000009823e+03 6.288791028563222030e-01
3.644000000000010004e+03 9.010569146701885579e-01
3.644800000000010186e+03 1.402859972547583212e+00
3.645600000000010368e+03 1.380177870776896576e+00
3.646400000000010550e+03 1.022101845442258572e+00
3.647200000000010732e+03 9.239694470743176069e-01
3.648000000000010914e+03 9.500784128748120949e-01
3.648800000000011096e+03 1.558578064962190091e+00
3.649600000000011278e+03 1.720179053156857041e+00
3.650400000000011460e+03 5.981145996807478715e-01
3.651200000000011642e+03 2.770777426999555537e-01
3.652000000000011823e+03 8.423935791210362956e-01
3.652800000000012005e+03 9.448098074234501098e-01
3.653600000000012187e+03 3.914271287720929582e-01
3.654400000000012369e+03 3.231025643226975719e-01
3.655200000000012551e+03 5.450327312822016435e-01
3.656000000000012733e+03 5.992628992178676839e-01
3.656800000000012915e+03 2.535524071658270540e-01
3.657600000000013097e+03 -1.755851765582633339e-02
3.658400000000013279e+03 1.612830354395593940e-02
3.659200000000013461e+03 2.865784222530514680e-01
3.660000000000013642e+03 5.456758186018217938e-01
3.660800000000013824e+03 5.718117060757164083e-01
3.661600000000014006e+03 8.137714379592002611e-01
3.662400000000014188e+03 9.165336723269433827e-01
3.663200000000014370e+03 6.327551010246011964e-01
3.664000000000014552e+03 8.329932297342305114e-01
3.664800000000014734e+03 1.134349714789574026e+00
3.665600000000014916e+03 9.548649214916011818e-01
3.666400000000015098e+03 1.257590569072979170e+00
3.667200000000015280e+03 2.324532453762913065e+00
3.668000000000015461e+03 2.801354835796979525e+00
3.668800000000015643e+03 2.372396039950822377e+00
3.669600000000015825e+03 1.241813218974350708e+00
3.670400000000016007e+03 -2.963436400740966370e-01
3.671200000000016189e+03 -1.015399189836146743e+00
3.672000000000016371e+03 -3.022917851723300742e-01
3.672800000000016553e+03 1.014839481495861673e+00
3.673600000000016735e+03 1.417111720442232325e+00
3.674400000000016917e+03 8.191575693250694457e-01
3.675200000000017099e+03 7.582762282247421104e-02
3.676000000000017280e+03 -5.581673776569087142e-01
3.676800000000017462e+03 -6.595378323384487596e-01
3.677600000000017644e+03 3.731189304331494760e-02
3.678400000000017826e+03 4.411748433510657152e-01
3.679200000000018008e+03 3.152277251769805000e-01
3.680000000000018190e+03 5.341397437056818465e-01
3.680800000000018372e+03 1.348898834174095285e+00
3.681600000000018554e+03 1.384986616602974063e+00
3.682400000000018736e+03 4.649557458638021723e-01
3.683200000000018917e+03 -2.813326028730612771e-01
3.684000000000019099e+03 -3.934789700894936737e-01
3.684800000000019281e+03 1.019633165429476018e-01
3.685600000000019463e+03 5.118041093116789675e-01
3.686400000000019645e+03 2.898236751144249723e-01
3.687200000000019827e+03 1.646447650367557636e-01
3.688000000000020009e+03 5.359935350861331216e-01
3.688800000000020191e+03 6.713250141527331571e-01
3.689600000000020373e+03 3.186621389370783430e-01
3.690400000000020555e+03 3.025280673388711650e-01
3.691200000000020736e+03 6.201316168588414390e-01
3.692000000000020918e+03 6.145607890353755876e-01
3.692800000000021100e+03 3.693472547943874029e-01
3.693600000000021282e+03 -2.797323239734099687e-01
3.694400000000021464e+03 -1.023669869401458321e+00
3.695200000000021646e+03 -7.211332007570985247e-01
3.696000000000021828e+03 4.316851928855249820e-01
3.696800000000022010e+03 1.017308444179084281e+00
3.697600000000022192e+03 1.285987053808345992e+00
3.698400000000022374e+03 9.763493055502445728e-01
3.699200000000022555e+03 1.562408330504113652e-01
3.700000000000022737e+03 1.632103052298899126e-01
3.700800000000022919e+03 3.214695631133561160e-01
3.701600000000023101e+03 -2.584170802740314854e-01
3.702400000000023283e+03 -7.280143472695881357e-01
3.703200000000023465e+03 -4.677493569193562351e-02
3.704000000000023647e+03 7.242732722055440497e-01
3.704800000000023829e+03 3.573233335033524360e-01
3.705600000000024011e+03 -5.500167185209899889e-01
3.706400000000024193e+03 -7.969135692853498432e-01
3.707200000000024374e+03 -3.855114716519009166e-01
3.708000000000024556e+03 -2.915364969513820625e-01
3.708800000000024738e+03 -2.966537148630581378e-01
