# Model for TARGETID=39627854555648169 at z=0, SPECTYPE=GALAXY, SUBTYPE=, smoothing=1.0
# wave_A flux
# 
1.579592038939538952e+03 2.653168879853499140e-01
1.579943059392636769e+03 2.949599434537445442e-01
1.580294079845734586e+03 3.178983819292626745e-01
1.580645100298832176e+03 3.249099480423108810e-01
1.580996120751929993e+03 3.264277727596462397e-01
1.581347141205027810e+03 3.273166875156323097e-01
1.581698161658125628e+03 3.285123749785002212e-01
1.582049182111223217e+03 3.301545868203686895e-01
1.582400202564321035e+03 3.320794396281642191e-01
1.582751223017418852e+03 3.341334851644138793e-01
1.583102243470516669e+03 3.361741420030510685e-01
1.583453263923614259e+03 3.380666536504052799e-01
1.583804284376712076e+03 3.397422476327930374e-01
1.584155304829809893e+03 3.411689500945140896e-01
1.584506325282907483e+03 3.423160830900511820e-01
1.584857345736005300e+03 3.431817680850235419e-01
1.585208366189103117e+03 3.437763380041683470e-01
1.585559386642200934e+03 3.440810747557296878e-01
1.585910407095298524e+03 3.440644933644625425e-01
1.586261427548396341e+03 3.437247043341635222e-01
1.586612448001494158e+03 3.430991584892563173e-01
1.586963468454591975e+03 3.422647616109995017e-01
1.587314488907689565e+03 3.413464371370423245e-01
1.587665509360787382e+03 3.404921156001936566e-01
1.588016529813885199e+03 3.398049192717254030e-01
1.588367550266982789e+03 3.393035416942842275e-01
1.588718570720080606e+03 3.389430080628758057e-01
1.589069591173178424e+03 3.386279922315708069e-01
1.589420611626276241e+03 3.382233388677317043e-01
1.589771632079373830e+03 3.376202405791770556e-01
1.590122652532471648e+03 3.367881124682511329e-01
1.590473672985569465e+03 3.357711510541873112e-01
1.590824693438667282e+03 3.346839664232721945e-01
1.591175713891764872e+03 3.336939994270872178e-01
1.591526734344862689e+03 3.329649192959360793e-01
1.591877754797960506e+03 3.325951514010633270e-01
1.592228775251058323e+03 3.325880759628294658e-01
1.592579795704155913e+03 3.328664823087402747e-01
1.592930816157253730e+03 3.332888177724520062e-01
1.593281836610351547e+03 3.336843931828737952e-01
1.593632857063449137e+03 3.339265621070184320e-01
1.593983877516546954e+03 3.339688795941850863e-01
1.594334897969644771e+03 3.338297407089745317e-01
1.594685918422742589e+03 3.335895057343352677e-01
1.595036938875840178e+03 3.333584080707059361e-01
1.595387959328937995e+03 3.332228309706081193e-01
1.595738979782035813e+03 3.332188171357793882e-01
1.596090000235133630e+03 3.333299238997365910e-01
1.596441020688231220e+03 3.335100395418211239e-01
1.596792041141329037e+03 3.337104913088645430e-01
1.597143061594426854e+03 3.338965167497204289e-01
1.597494082047524444e+03 3.340692952370050151e-01
1.597845102500622261e+03 3.342314185022240425e-01
1.598196122953720078e+03 3.343230221090233156e-01
1.598547143406817895e+03 3.342308421445847610e-01
1.598898163859915485e+03 3.338232920179499130e-01
1.599249184313013302e+03 3.329748229146857752e-01
1.599600204766111119e+03 3.316309582861554084e-01
1.599951225219208936e+03 3.298693889834977688e-01
1.600302245672306526e+03 3.279027679604249457e-01
1.600653266125404343e+03 3.260338962829815168e-01
1.601004286578502160e+03 3.246017661775630891e-01
1.601355307031599750e+03 3.239098547853851984e-01
1.601706327484697567e+03 3.241366496106823369e-01
1.602057347937795384e+03 3.252816723549292188e-01
1.602408368390893202e+03 3.271678858666737799e-01
1.602759388843990791e+03 3.294818181218198694e-01
1.603110409297088609e+03 3.318290882612392467e-01
1.603461429750186426e+03 3.338152086101546789e-01
1.603812450203284243e+03 3.351308887038616513e-01
1.604163470656381833e+03 3.356250532403843856e-01
1.604514491109479650e+03 3.353092049232279104e-01
1.604865511562577467e+03 3.343634554814850501e-01
1.605216532015675057e+03 3.330630061821579502e-01
1.605567552468772874e+03 3.316618923381747241e-01
1.605918572921870691e+03 3.303696702121491358e-01
1.606269593374968508e+03 3.293110200526276898e-01
1.606620613828066098e+03 3.284585238190152467e-01
1.606971634281163915e+03 3.276762297025773707e-01
1.607322654734261732e+03 3.267952602208640256e-01
1.607673675187359549e+03 3.256657999982074392e-01
1.608024695640457139e+03 3.241925329715845128e-01
1.608375716093554956e+03 3.223397113874496567e-01
1.608726736546652774e+03 3.201333973426332413e-01
1.609077756999750363e+03 3.176525977344196727e-01
1.609428777452848180e+03 3.150123955724137836e-01
1.609779797905945998e+03 3.123640493634208815e-01
1.610130818359043815e+03 3.098873277428473294e-01
1.610481838812141405e+03 3.077538035202824762e-01
1.610832859265239222e+03 3.061273114823225838e-01
1.611183879718337039e+03 3.051935810365230539e-01
1.611534900171434856e+03 3.051004661566375509e-01
1.611885920624532446e+03 3.059079107262311914e-01
1.612236941077630263e+03 3.076117591273300755e-01
1.612587961530728080e+03 3.101227450393494456e-01
1.612938981983825670e+03 3.132704022800701926e-01
1.613290002436923487e+03 3.168654583630530208e-01
1.613641022890021304e+03 3.206779865612972014e-01
1.613992043343119121e+03 3.244501583513919596e-01
1.614343063796216711e+03 3.279878897660496451e-01
1.614694084249314528e+03 3.311517598958949593e-01
1.615045104702412345e+03 3.338048087207834413e-01
1.615396125155510163e+03 3.358463923944438045e-01
1.615747145608607752e+03 3.372340203809004455e-01
1.616098166061705570e+03 3.379697277524194021e-01
1.616449186514803387e+03 3.380960637235512767e-01
1.616800206967900976e+03 3.376733788137680214e-01
1.617151227420998794e+03 3.367853696493681159e-01
1.617502247874096611e+03 3.355110781705942236e-01
1.617853268327194428e+03 3.338838364039110607e-01
1.618204288780292018e+03 3.319408175823308493e-01
1.618555309233389835e+03 3.297441079221711258e-01
1.618906329686487652e+03 3.273534207287869813e-01
1.619257350139585469e+03 3.248691288905408703e-01
1.619608370592683059e+03 3.224663074068673252e-01
1.619959391045780876e+03 3.203533978222085077e-01
1.620310411498878693e+03 3.186971225092942728e-01
1.620661431951976283e+03 3.176082146688101737e-01
1.621012452405074100e+03 3.171399477832734792e-01
1.621363472858171917e+03 3.172697847905266988e-01
1.621714493311269734e+03 3.178856080217452584e-01
1.622065513764367324e+03 3.188239796998038056e-01
1.622416534217465141e+03 3.199288292888863294e-01
1.622767554670562959e+03 3.210792044406277634e-01
1.623118575123660776e+03 3.221871841602812481e-01
1.623469595576758365e+03 3.231904054391513403e-01
1.623820616029856183e+03 3.240370959590892497e-01
1.624171636482954000e+03 3.246745642302990564e-01
1.624522656936051590e+03 3.250535178532082403e-01
1.624873677389149407e+03 3.251282838411861942e-01
1.625224697842247224e+03 3.248569892385558822e-01
1.625575718295345041e+03 3.242133311331552026e-01
1.625926738748442631e+03 3.232166182542015598e-01
1.626277759201540448e+03 3.219145924049555685e-01
1.626628779654638265e+03 3.203544418118938752e-01
1.626979800107736082e+03 3.186078892563335985e-01
1.627330820560833672e+03 3.167683836044273837e-01
1.627681841013931489e+03 3.149343018948570494e-01
1.628032861467029306e+03 3.132120195654645722e-01
1.628383881920126896e+03 3.117172792597522335e-01
1.628734902373224713e+03 3.105726017763617008e-01
1.629085922826322530e+03 3.098689953183138557e-01
1.629436943279420348e+03 3.096479503014168411e-01
1.629787963732517937e+03 3.099045107268219024e-01
1.630138984185615755e+03 3.105781639281079975e-01
1.630490004638713572e+03 3.115823114865063914e-01
1.630841025091811389e+03 3.128509354967786704e-01
1.631192045544908979e+03 3.143345784320200620e-01
1.631543065998006796e+03 3.159952185470106256e-01
1.631894086451104613e+03 3.178213071344792029e-01
1.632245106904202203e+03 3.197888280826430840e-01
1.632596127357300020e+03 3.218189340223943651e-01
1.632947147810397837e+03 3.238113861754627898e-01
1.633298168263495654e+03 3.256936249848354503e-01
1.633649188716593244e+03 3.274002261745952991e-01
1.634000209169691061e+03 3.288988480268451031e-01
1.634351229622788878e+03 3.302099008577819017e-01
1.634702250075886695e+03 3.313779717872120112e-01
1.635053270528984285e+03 3.324500397649794436e-01
1.635404290982082102e+03 3.334454242403638302e-01
1.635755311435179919e+03 3.343419061657664781e-01
1.636106331888277509e+03 3.350829312659775461e-01
1.636457352341375326e+03 3.355798725042792308e-01
1.636808372794473144e+03 3.357525339730280667e-01
1.637159393247570961e+03 3.355482831156981205e-01
1.637510413700668551e+03 3.349462134964595883e-01
1.637861434153766368e+03 3.339863429057729483e-01
1.638212454606864185e+03 3.327841140019041077e-01
1.638563475059962002e+03 3.315050916785742263e-01
1.638914495513059592e+03 3.303137696619904418e-01
1.639265515966157409e+03 3.293610126542898531e-01
1.639616536419255226e+03 3.287812382418516810e-01
1.639967556872352816e+03 3.286395319278090366e-01
1.640318577325450633e+03 3.289189958094784760e-01
1.640669597778548450e+03 3.295541239366970299e-01
1.641020618231646267e+03 3.304429148258978266e-01
1.641371638684743857e+03 3.314622462703145644e-01
1.641722659137841674e+03 3.325132601163094392e-01
1.642073679590939491e+03 3.335321023729573842e-01
1.642424700044037309e+03 3.344569377600388194e-01
1.642775720497134898e+03 3.352328033732995261e-01
1.643126740950232715e+03 3.358456086311459865e-01
1.643477761403330533e+03 3.362993122424551284e-01
1.643828781856428122e+03 3.365986645292631252e-01
1.644179802309525940e+03 3.367751587645796962e-01
