# TARGETID=39627860595442448, Z=0.000, SPECTYPE=STAR, SUBTYPE=G, smoothing=1.0
# wave_A flux
# 
3.600000000000000000e+03 2.332436843727537479e+01
3.600800000000000182e+03 1.672539442144622512e+01
3.601600000000000364e+03 1.545873791438456735e+01
3.602400000000000546e+03 1.849317604248447822e+01
3.603200000000000728e+03 2.093785098246159748e+01
3.604000000000000909e+03 2.162731997070669365e+01
3.604800000000001091e+03 1.746500468300499875e+01
3.605600000000001273e+03 1.034866234732565005e+01
3.606400000000001455e+03 6.989661928726077278e+00
3.607200000000001637e+03 9.073778000035487068e+00
3.608000000000001819e+03 1.512893667903760075e+01
3.608800000000002001e+03 1.794461465181322524e+01
3.609600000000002183e+03 1.566868035742019671e+01
3.610400000000002365e+03 1.466465193588177307e+01
3.611200000000002547e+03 1.519212799665363534e+01
3.612000000000002728e+03 1.182873153151792778e+01
3.612800000000002910e+03 7.705341727811326535e+00
3.613600000000003092e+03 8.519591097718086203e+00
3.614400000000003274e+03 1.402173485830805610e+01
3.615200000000003456e+03 2.044738942231745682e+01
3.616000000000003638e+03 2.023617963785554252e+01
3.616800000000003820e+03 1.887084674111203242e+01
3.617600000000004002e+03 1.764055164671772147e+01
3.618400000000004184e+03 1.536372235414102683e+01
3.619200000000004366e+03 1.440395216689876712e+01
3.620000000000004547e+03 1.492707337091030340e+01
3.620800000000004729e+03 1.553534152883229069e+01
3.621600000000004911e+03 1.679258843848449345e+01
3.622400000000005093e+03 1.816878994377772472e+01
3.623200000000005275e+03 1.720234559510518579e+01
3.624000000000005457e+03 1.369471718007176086e+01
3.624800000000005639e+03 1.224892149689305221e+01
3.625600000000005821e+03 1.558109808604934443e+01
3.626400000000006003e+03 2.041851539947265337e+01
3.627200000000006185e+03 2.242217326515679332e+01
3.628000000000006366e+03 2.271466691470534016e+01
3.628800000000006548e+03 2.259664702572852946e+01
3.629600000000006730e+03 2.144410589963846547e+01
3.630400000000006912e+03 1.680458261309541967e+01
3.631200000000007094e+03 9.727559545459337542e+00
3.632000000000007276e+03 4.007432817592497365e+00
3.632800000000007458e+03 4.273730351891227741e+00
3.633600000000007640e+03 8.830424765535653364e+00
3.634400000000007822e+03 1.248763201218745067e+01
3.635200000000008004e+03 1.180267540361492706e+01
3.636000000000008185e+03 8.964410618154641242e+00
3.636800000000008367e+03 1.073815317825038917e+01
3.637600000000008549e+03 1.411984795727231123e+01
3.638400000000008731e+03 1.411644440786096411e+01
3.639200000000008913e+03 1.459125360755090384e+01
3.640000000000009095e+03 1.675793193100910727e+01
3.640800000000009277e+03 2.000207454001812835e+01
3.641600000000009459e+03 1.963605875966636205e+01
3.642400000000009641e+03 1.642590624555682410e+01
3.643200000000009823e+03 1.620873726447153729e+01
3.644000000000010004e+03 1.694395613297346159e+01
3.644800000000010186e+03 1.841811933689935188e+01
3.645600000000010368e+03 2.025170141447275896e+01
3.646400000000010550e+03 1.875764318864331415e+01
3.647200000000010732e+03 1.514804359114631538e+01
3.648000000000010914e+03 1.261613273578315209e+01
3.648800000000011096e+03 1.047784697660897635e+01
3.649600000000011278e+03 9.238949480960762628e+00
3.650400000000011460e+03 8.779183139221856891e+00
3.651200000000011642e+03 1.034397761914083347e+01
3.652000000000011823e+03 1.189247643293280454e+01
3.652800000000012005e+03 1.151255937521811390e+01
3.653600000000012187e+03 9.969901143346888261e+00
3.654400000000012369e+03 9.614728876245290934e+00
3.655200000000012551e+03 1.175555315580765559e+01
3.656000000000012733e+03 1.383575455567615009e+01
3.656800000000012915e+03 1.349995236282786237e+01
3.657600000000013097e+03 9.451443091068824742e+00
3.658400000000013279e+03 8.504734880896549498e+00
