# Model for TARGETID=39627860595442448 at z=0, SPECTYPE=STAR, SUBTYPE=G, smoothing=1.0
# wave_A flux
# 
3.599777339597769242e+03 1.194511479160169642e+01
3.600577290117679695e+03 1.340862945900288139e+01
3.601377240637590603e+03 1.432033620936267937e+01
3.602177191157501511e+03 1.388832750867818788e+01
3.602977141677412419e+03 1.283700331447298737e+01
3.603777092197322872e+03 1.207404256003302478e+01
3.604577042717233780e+03 1.181794698152432765e+01
3.605376993237144688e+03 1.169090708798026768e+01
3.606176943757055597e+03 1.156972874897038750e+01
3.606976894276966050e+03 1.167554676458174612e+01
3.607776844796876958e+03 1.182739300100550395e+01
3.608576795316787866e+03 1.152667921066542434e+01
3.609376745836698774e+03 1.067002497542256023e+01
3.610176696356609227e+03 9.976313013728436374e+00
3.610976646876520135e+03 1.010009533739114573e+01
3.611776597396431043e+03 1.084203684484992003e+01
3.612576547916341951e+03 1.152765693752915155e+01
3.613376498436252405e+03 1.166841546134068963e+01
3.614176448956163313e+03 1.152504073390311135e+01
3.614976399476074221e+03 1.177280933505947047e+01
3.615776349995985129e+03 1.251177214524992465e+01
3.616576300515895582e+03 1.318773449985340562e+01
3.617376251035806490e+03 1.320281082426642882e+01
3.618176201555717398e+03 1.222472062952633109e+01
3.618976152075628306e+03 1.054851269395710744e+01
3.619776102595538759e+03 9.375707699361083058e+00
3.620576053115449668e+03 9.638279256781176585e+00
3.621376003635360576e+03 1.078646780250979731e+01
3.622175954155271484e+03 1.179427711071415530e+01
3.622975904675181937e+03 1.249980946315801233e+01
3.623775855195092845e+03 1.293833317762893387e+01
3.624575805715003753e+03 1.295540610865919540e+01
3.625375756234914661e+03 1.301667641530611519e+01
3.626175706754825114e+03 1.368620776690905672e+01
3.626975657274736022e+03 1.454730027097620493e+01
3.627775607794646930e+03 1.478970946114092655e+01
3.628575558314557838e+03 1.448108317230940045e+01
3.629375508834468746e+03 1.410656059737781476e+01
3.630175459354379200e+03 1.343602901253055038e+01
3.630975409874290108e+03 1.205243470588360033e+01
3.631775360394201016e+03 1.048742431957210641e+01
3.632575310914111924e+03 9.874279185637623968e+00
3.633375261434022377e+03 1.043806798888613230e+01
3.634175211953933285e+03 1.117592775778911829e+01
