# TARGETID=39627860595442816, Z=3.698, SPECTYPE=QSO, SUBTYPE=HIZ, smoothing=1.0
# wave_A flux
# 
3.600000000000000000e+03 8.413949373878077953e-01
3.600800000000000182e+03 9.400702313774266239e-01
3.601600000000000364e+03 1.133734588471448257e+00
3.602400000000000546e+03 6.303064117088712504e-01
3.603200000000000728e+03 2.840521206941808985e-01
3.604000000000000909e+03 8.982935496479863557e-01
3.604800000000001091e+03 1.123713652533928631e+00
3.605600000000001273e+03 9.977060828446835394e-01
3.606400000000001455e+03 1.038547729157521804e+00
3.607200000000001637e+03 6.190367175645006270e-01
3.608000000000001819e+03 -1.897314909311286768e-01
3.608800000000002001e+03 -1.200435580352035458e+00
3.609600000000002183e+03 -1.439718396703846492e+00
3.610400000000002365e+03 -3.698095763978833661e-01
3.611200000000002547e+03 6.804918852677240837e-01
3.612000000000002728e+03 6.924430790904378963e-01
3.612800000000002910e+03 7.684053027954358406e-01
3.613600000000003092e+03 1.716416187570050322e+00
3.614400000000003274e+03 2.033681065442873859e+00
3.615200000000003456e+03 7.279602972847026843e-01
3.616000000000003638e+03 -6.412752504831196187e-01
3.616800000000003820e+03 -3.737692188719616837e-01
3.617600000000004002e+03 8.096013656115904622e-01
3.618400000000004184e+03 1.451162949434195770e+00
3.619200000000004366e+03 7.969405771669023641e-01
3.620000000000004547e+03 2.417096113321695050e-01
3.620800000000004729e+03 5.465128713097615609e-01
3.621600000000004911e+03 1.158436305993289173e+00
3.622400000000005093e+03 1.090874202474359178e+00
3.623200000000005275e+03 7.382843596287260723e-01
3.624000000000005457e+03 6.421588534579130148e-01
3.624800000000005639e+03 7.212102828430153600e-01
3.625600000000005821e+03 1.293528965143365461e+00
3.626400000000006003e+03 1.239745833044927359e+00
3.627200000000006185e+03 8.193873207449917651e-01
3.628000000000006366e+03 3.471545147629621075e-01
3.628800000000006548e+03 1.357059486566001283e-01
3.629600000000006730e+03 7.588670579848023623e-01
3.630400000000006912e+03 1.388112490182655145e+00
3.631200000000007094e+03 1.648141983530626131e+00
3.632000000000007276e+03 1.477910538677188246e+00
3.632800000000007458e+03 7.903128867699000804e-01
3.633600000000007640e+03 2.383861969515744805e-01
3.634400000000007822e+03 6.189043191307196379e-01
3.635200000000008004e+03 5.197069570479375678e-01
3.636000000000008185e+03 -3.146286125113864074e-01
3.636800000000008367e+03 -6.125171812567496987e-01
3.637600000000008549e+03 -2.364842351232508966e-01
3.638400000000008731e+03 -1.203582770763444582e-01
3.639200000000008913e+03 6.985751922692112759e-02
3.640000000000009095e+03 6.220140445977874188e-01
3.640800000000009277e+03 9.344893302671640756e-01
3.641600000000009459e+03 1.017088302847406700e+00
3.642400000000009641e+03 8.852999613524997757e-01
3.643200000000009823e+03 7.075399388730305716e-01
3.644000000000010004e+03 6.741677078801371348e-01
3.644800000000010186e+03 6.007495295196938478e-01
3.645600000000010368e+03 -2.360695415873941827e-01
3.646400000000010550e+03 -1.006583585901611455e+00
3.647200000000010732e+03 -5.442429130882662225e-01
3.648000000000010914e+03 7.722637789846592549e-02
3.648800000000011096e+03 3.790526278153932838e-01
3.649600000000011278e+03 3.906349325467848854e-01
3.650400000000011460e+03 -4.847684493340626011e-02
3.651200000000011642e+03 -3.355417111633806626e-01
3.652000000000011823e+03 -1.246512623511631113e-01
3.652800000000012005e+03 1.840967455701964794e-01
3.653600000000012187e+03 -1.340753764326783615e-01
3.654400000000012369e+03 -9.418666379045523840e-01
3.655200000000012551e+03 -1.369314542408184288e+00
3.656000000000012733e+03 -1.119497708626888910e+00
3.656800000000012915e+03 -3.651042138140430104e-01
3.657600000000013097e+03 1.982489119134927813e-01
3.658400000000013279e+03 3.290856021820406374e-01
3.659200000000013461e+03 6.710198071940074449e-01
3.660000000000013642e+03 8.343645608723917473e-01
3.660800000000013824e+03 4.608924454606147525e-01
3.661600000000014006e+03 3.313542364134153262e-01
3.662400000000014188e+03 5.261044959278982081e-01
3.663200000000014370e+03 9.795390276331565893e-01
3.664000000000014552e+03 1.098346552627126327e+00
3.664800000000014734e+03 1.210419595586132324e+00
3.665600000000014916e+03 1.469209637797535439e+00
3.666400000000015098e+03 1.371031134111051264e+00
3.667200000000015280e+03 8.527387402398358685e-01
3.668000000000015461e+03 5.372268128010063704e-01
3.668800000000015643e+03 3.532307990809686604e-01
3.669600000000015825e+03 2.757491885121904351e-01
3.670400000000016007e+03 2.853780960859617077e-01
3.671200000000016189e+03 1.116130085905921165e-01
3.672000000000016371e+03 4.904490068306591177e-02
3.672800000000016553e+03 4.096285127756343902e-01
3.673600000000016735e+03 7.135462142523263385e-01
3.674400000000016917e+03 5.895016356632016841e-01
3.675200000000017099e+03 2.914257896061890341e-01
3.676000000000017280e+03 8.565238451842274725e-02
3.676800000000017462e+03 2.970449836891207451e-01
3.677600000000017644e+03 1.007558521002499541e+00
3.678400000000017826e+03 1.287549315299381547e+00
3.679200000000018008e+03 7.455951526099744431e-01
