# Model for TARGETID=39627860595442816 at z=0, SPECTYPE=QSO, SUBTYPE=HIZ, smoothing=1.0
# wave_A flux
# 
7.663253413105820755e+02 4.875271065426595163e-02
7.664956358308733115e+02 5.576620913745852781e-02
7.666659303511646613e+02 6.282940254011055992e-02
7.668362248714558973e+02 6.752051685598464692e-02
7.670065193917472470e+02 7.097430257814391075e-02
7.671768139120384831e+02 7.314514215942882758e-02
7.673471084323297191e+02 7.417849945249117838e-02
7.675174029526210688e+02 7.608112423965515680e-02
7.676876974729123049e+02 7.956513483334361203e-02
7.678579919932035409e+02 8.224464472206602372e-02
7.680282865134948906e+02 8.297249075740675828e-02
7.681985810337861267e+02 8.269526212910380258e-02
7.683688755540774764e+02 8.163509569354296391e-02
7.685391700743687124e+02 8.053091993777214408e-02
7.687094645946599485e+02 8.181629192813688611e-02
7.688797591149512982e+02 8.489702855501748968e-02
7.690500536352425343e+02 8.508092103206341128e-02
7.692203481555338840e+02 8.189702231905071628e-02
7.693906426758251200e+02 7.997610428356538570e-02
7.695609371961163561e+02 7.984045049068692890e-02
7.697312317164077058e+02 7.841655460672189437e-02
7.699015262366989418e+02 7.711371357986726571e-02
7.700718207569901779e+02 7.887860202855778713e-02
7.702421152772815276e+02 8.118831994893585535e-02
7.704124097975727636e+02 8.042416426058283940e-02
7.705827043178641134e+02 7.763248496425319278e-02
7.707529988381553494e+02 7.596118462842188501e-02
7.709232933584465854e+02 7.701370183288439031e-02
7.710935878787379352e+02 7.951712325716148166e-02
7.712638823990291712e+02 8.103916820187587189e-02
7.714341769193204073e+02 8.169197029932651066e-02
7.716044714396117570e+02 8.284519093079639740e-02
7.717747659599029930e+02 8.441556768763711083e-02
7.719450604801943427e+02 8.632411667715707282e-02
7.721153550004855788e+02 8.877806045630330656e-02
7.722856495207768148e+02 9.089483426557630474e-02
7.724559440410681646e+02 9.107214154378606707e-02
7.726262385613594006e+02 8.925177335261483269e-02
7.727965330816506366e+02 8.862015246086618614e-02
7.729668276019419864e+02 9.208920101572273809e-02
7.731371221222332224e+02 9.697818650706438448e-02
7.733074166425245721e+02 9.834573499326691726e-02
7.734777111628158082e+02 9.567116828694760544e-02
7.736480056831070442e+02 9.221366987583858033e-02
7.738183002033983939e+02 9.099214533119340254e-02
7.739885947236896300e+02 9.184371932187207488e-02
7.741588892439809797e+02 9.208543661810530967e-02
7.743291837642722157e+02 9.114790967907016039e-02
7.744994782845634518e+02 9.066549683232498491e-02
7.746697728048548015e+02 9.068229697604052175e-02
