# Intensity     Wavelength     Spectrum   Ref.  
   25          2279.967          Ti I       F91
   25          2305.674          Ti I       F91
   30          2525.586          Ti II      HJLW82
   25          2529.871          Ti I       F91
   25          2541.908          Ti I       F91
   25          2593.640          Ti I       F91
   30          2599.904          Ti I       F91
   40          2605.133          Ti I       F91
   70          2611.285          Ti I       F91
   40          2619.933          Ti I       F91
   80          2641.087          Ti I       F91
  100          2644.253          Ti I       F91
  120          2646.625          Ti I       F91
   30          2802.494          Ti I       F91
   60          2912.083          Ti I       F91
   40          2928.327          Ti I       F91
  150          2948.242          Ti I       F91
  200          2956.123          Ti I       F91
   25          2967.225          Ti I       F91
  110          3066.229          Ti II      HJLW82
   50          3072.117          Ti II      HJLW82
   90          3072.986          Ti II      HJLW82
  130          3075.231          Ti II      HJLW82
  200          3078.651          Ti II      HJLW82
  300          3088.042          Ti II      HJLW82
   90          3119.723          Ti I       F91
   25          3123.073          Ti I       F91
   40          3161.231          Ti II      HJLW82
   60          3161.798          Ti II      HJLW82
   80          3162.586          Ti II      HJLW82
  130          3168.550          Ti II      HJLW82
  300          3186.451          Ti I       F91
   80          3190.914          Ti II      HJLW82
  400          3191.993          Ti I       F91
  500          3199.915          Ti I       F91
   60          3202.559          Ti II      HJLW82
   30          3203.825          Ti I       F91
   30          3214.237          Ti I       F91
   90          3217.073          Ti II      HJLW82
  110          3222.839          Ti II      HJLW82
   40          3228.618          Ti II      HJLW82
   60          3229.194          Ti II      HJLW82
   40          3229.430          Ti II      HJLW82
  600          3234.513          Ti II      HJLW82
  400          3236.581          Ti II      HJLW82
  300          3239.038          Ti II      HJLW82
  200          3241.994          Ti II      HJLW82
  100          3248.605          Ti II      HJLW82
   80          3251.909          Ti II      HJLW82
  100          3252.916          Ti II      HJLW82
  100          3254.251          Ti II      HJLW82
  100          3261.585          Ti II      HJLW82
   40          3287.657          Ti II      HJLW82
   40          3292.076          Ti I       F91
   30          3309.497          Ti I       F91
  110          3314.421          Ti I       F91
   30          3318.021          Ti II      HJLW82
   50          3321.697          Ti II      HJLW82
  250          3322.939          Ti II      HJLW82
   30          3326.765          Ti II      HJLW82
  200          3329.458          Ti II      HJLW82
   50          3332.112          Ti II      HJLW82
  150          3335.182          Ti II      HJLW82
   90          3340.341          Ti II      HJLW82
  700          3341.874          Ti I       F91
   30          3346.745          Ti II      HJLW82
  400          3349.029          Ti II      HJLW82
 1000          3349.405          Ti II      HJLW82
  500          3354.633          Ti I       F91
   40          3358.271          Ti I       F91
   40          3360.989          Ti I       F91
  600          3361.227          Ti II      HJLW82
   40          3361.266          Ti I       F91
  140          3370.434          Ti I       F91
  600          3371.452          Ti I       F91
  500          3372.798          Ti II      HJLW82
  150          3377.486          Ti I       F91
  400          3377.575          Ti I       F91
   40          3379.211          Ti I       F91
  120          3380.277          Ti II      HJLW82
  500          3383.769          Ti II      HJLW82
   20          3385.660          Ti I       F91
  200          3385.941          Ti I       F91
  120          3387.840          Ti II      HJLW82
   90          3394.578          Ti II      HJLW82
   70          3444.322          Ti II      HJLW82
   50          3461.507          Ti II      HJLW82
   50          3477.187          Ti II      HJLW82
   30          3480.525          Ti I       F91
   40          3491.072          Ti II      HJLW82
   70          3504.900          Ti II      HJLW82
   50          3510.862          Ti II      HJLW82
   25          3547.028          Ti I       F91
   25          3598.713          Ti I       F91
   80          3610.153          Ti I       F91
  600          3635.462          Ti I       F91
  800          3642.674          Ti I       F91
   25          3646.196          Ti I       F91
  900          3653.495          Ti I       F91
   40          3654.590          Ti I       F91
   80          3658.095          Ti I       F91
   50          3660.629          Ti I       F91
   50          3668.963          Ti I       F91
   80          3671.671          Ti I       F91
  250          3685.205          Ti II      HJLW82
   80          3689.914          Ti I       F91
   40          3709.957          Ti I       F91
   60          3717.391          Ti I       F91
   40          3722.570          Ti I       F91
   80          3724.569          Ti I       F91
  400          3729.806          Ti I       F91
  400          3741.060          Ti I       F91
   30          3741.644          Ti II      HJLW82
  700          3752.858          Ti I       F91
   80          3753.633          Ti I       F91
  300          3759.300          Ti II      HJLW82
  250          3761.326          Ti II      HJLW82
   80          3771.651          Ti I       F91
  110          3786.042          Ti I       F91
   30          3866.439          Ti I       F91
   30          3875.257          Ti I       F91
   60          3882.891          Ti I       F91
   40          3900.559          Ti II      HJLW82
   25          3900.959          Ti I       F91
  300          3904.784          Ti I       F91
   40          3913.477          Ti II      HJLW82
   60          3914.334          Ti I       F91
   40          3921.422          Ti I       F91
  140          3924.526          Ti I       F91
  110          3929.874          Ti I       F91
  140          3947.769          Ti I       F91
  600          3948.670          Ti I       F91
  600          3956.334          Ti I       F91
  700          3958.201          Ti I       F91
  120          3962.851          Ti I       F91
  120          3964.269          Ti I       F91
  600          3981.761          Ti I       F91
   70          3982.480          Ti I       F91
  700          3989.758          Ti I       F91
 1000          3998.636          Ti I       F91
  120          4008.927          Ti I       F91
   25          4009.656          Ti I       F91
  150          4024.571          Ti I       F91
   25          4030.511          Ti I       F91
   40          4055.011          Ti I       F91
   50          4060.262          Ti I       F91
   25          4064.209          Ti I       F91
   25          4065.095          Ti I       F91
  110          4078.470          Ti I       F91
   40          4082.455          Ti I       F91
   30          4112.708          Ti I       F91
   50          4186.117          Ti I       F91
   40          4263.133          Ti I       F91
   30          4274.588          Ti I       F91
   30          4282.698          Ti I       F91
  110          4286.003          Ti I       F91
  110          4287.402          Ti I       F91
  120          4289.070          Ti I       F91
  110          4290.929          Ti I       F91
  110          4295.748          Ti I       F91
  250          4298.665          Ti I       F91
   25          4299.202          Ti I       F91
   25          4299.629          Ti I       F91
  400          4300.554          Ti I       F91
  500          4301.079          Ti I       F91
  800          4305.907          Ti I       F91
  150          4314.800          Ti I       F91
   50          4318.629          Ti I       F91
   25          4325.126          Ti I       F91
   20          4393.922          Ti I       F91
   30          4395.004          Ti II      HJLW82
   30          4417.273          Ti I       F91
  110          4427.098          Ti I       F91
  110          4449.143          Ti I       F91
   70          4450.894          Ti I       F91
  110          4453.312          Ti I       F91
   40          4453.698          Ti I       F91
  120          4455.317          Ti I       F91
  140          4457.426          Ti I       F91
   40          4465.805          Ti I       F91
   30          4471.236          Ti I       F91
   70          4481.258          Ti I       F91
   30          4489.087          Ti I       F91
   30          4496.145          Ti I       F91
  100          4512.733          Ti I       F91
  130          4518.021          Ti I       F91
  130          4522.796          Ti I       F91
  100          4527.305          Ti I       F91
  800          4533.239          Ti I       F91
  500          4534.775          Ti I       F91
  300          4535.567          Ti I       F91
  150          4535.918          Ti I       F91
  150          4536.039          Ti I       F91
   90          4544.687          Ti I       F91
  120          4548.763          Ti I       F91
  120          4552.453          Ti I       F91
   90          4555.483          Ti I       F91
  120          4617.268          Ti I       F91
   60          4623.097          Ti I       F91
   25          4629.336          Ti I       F91
   30          4639.360          Ti I       F91
   30          4639.660          Ti I       F91
   25          4639.939          Ti I       F91
   90          4656.468          Ti I       F91
  110          4667.584          Ti I       F91
  120          4681.908          Ti I       F91
   25          4691.331          Ti I       F91
   25          4698.760          Ti I       F91
   40          4758.118          Ti I       F91
   40          4759.269          Ti I       F91
   25          4820.410          Ti I       F91
   60          4840.873          Ti I       F91
   40          4856.010          Ti I       F91
   25          4868.259          Ti I       F91
   30          4870.127          Ti I       F91
   50          4885.081          Ti I       F91
   50          4899.908          Ti I       F91
   40          4913.615          Ti I       F91
  700          4981.730          Ti I       F91
  600          4991.066          Ti I       F91
  500          4999.501          Ti I       F91
   30          5000.988          Ti I       F91
  500          5007.206          Ti I       F91
   30          5013.281          Ti I       F91
  400          5014.186          Ti I       F91
  300          5014.275          Ti I       F91
   70          5016.160          Ti I       F91
  110          5020.024          Ti I       F91
  110          5022.866          Ti I       F91
   70          5024.843          Ti I       F91
   40          5025.569          Ti I       F91
  150          5035.902          Ti I       F91
  110          5036.463          Ti I       F91
   90          5038.396          Ti I       F91
  150          5039.955          Ti I       F91
  200          5064.651          Ti I       F91
   25          5113.439          Ti I       F91
   30          5120.415          Ti I       F91
   30          5145.459          Ti I       F91
   30          5147.477          Ti I       F91
   25          5152.184          Ti I       F91
  140          5173.740          Ti I       F91
  150          5192.969          Ti I       F91
  200          5210.384          Ti I       F91
   30          5224.304          Ti I       F91
   25          5224.933          Ti I       F91
   40          5512.523          Ti I       F91
   30          5514.343          Ti I       F91
   40          5514.531          Ti I       F91
   30          5644.132          Ti I       F91
   25          5662.147          Ti I       F91
   50          5866.448          Ti I       F91
   30          5899.291          Ti I       F91
   40          5953.156          Ti I       F91
   25          5965.824          Ti I       F91
   30          5978.538          Ti I       F91
   40          5999.008          Ti I       F91
   50          6258.099          Ti I       F91
   50          6258.705          Ti I       F91
   40          6261.096          Ti I       F91
   30          7209.434          Ti I       F91
   20          8426.504          Ti I       F91
   60          8434.959          Ti I       F91
   30          8435.648          Ti I       F91
